geoid,geoid20,year,denom_total_pop,all_crime_count,all_crime_rate,parti_violent_rate,parti_violent_count,parti_property_rate,parti_property_count,partii_rate,partii_count,_merge
1400000US06037113424,6037113424,2022,3346,357,1066.9456,146.44351,49,582.7854,195,337.71667,113,Master only (1)
1400000US06037113425,6037113425,2022,4499,57,126.69482,13.336297,6,33.340744,15,80.017784,36,Master only (1)
1400000US06037113426,6037113426,2022,2322,307,1322.1361,159.3454,37,581.39532,135,572.7821,133,Master only (1)
1400000US06037113427,6037113427,2022,2360,155,656.77966,80.508476,19,190.67796,45,385.59323,91,Master only (1)
1400000US06037113428,6037113428,2022,4222,133,315.01657,11.842729,5,163.42966,69,139.7442,59,Master only (1)
1400000US06037115101,6037115101,2022,4678,259,553.6554,34.202652,16,316.37451,148,198.8029,93,Master only (1)
1400000US06037115103,6037115103,2022,2725,104,381.65137,44.036697,12,194.49541,53,143.11926,39,Master only (1)
1400000US06037115104,6037115104,2022,4327,166,383.63763,16.17749,7,191.81882,83,175.64133,76,Master only (1)
1400000US06037115202,6037115202,2022,6010,293,487.52081,49.916805,30,234.60898,141,199.66722,120,Master only (1)
1400000US06037115203,6037115203,2022,2236,178,796.06439,58.139534,13,420.39355,94,317.53131,71,Master only (1)
1400000US06037115204,6037115204,2022,3806,42,110.35207,7.8822913,3,49.921177,19,52.548607,20,Master only (1)
1400000US06037115301,6037115301,2022,4511,146,323.65329,24.384836,11,146.30902,66,152.95943,69,Master only (1)
1400000US06037115302,6037115302,2022,3912,232,593.04706,56.237217,22,212.16769,83,322.08588,126,Master only (1)
1400000US06037115401,6037115401,2022,5847,232,396.78467,35.915855,21,191.55122,112,169.3176,99,Master only (1)
1400000US06037115403,6037115403,2022,3477,140,402.64597,40.264595,14,204.19902,71,155.3063,54,Master only (1)
1400000US06037115404,6037115404,2022,2830,294,1038.8693,109.54063,31,438.16254,124,491.16608,139,Master only (1)
1400000US06037117101,6037117101,2022,5252,129,245.62071,7.6161461,4,133.28256,70,104.72201,55,Master only (1)
1400000US06037117102,6037117102,2022,2504,103,411.34186,55.910542,14,163.73802,41,187.69968,47,Master only (1)
1400000US06037117201,6037117201,2022,4250,249,585.88232,58.823528,25,235.29411,100,287.05884,122,Master only (1)
1400000US06037117202,6037117202,2022,2853,115,403.08447,38.555904,11,199.78969,57,164.73888,47,Master only (1)
1400000US06037117301,6037117301,2022,3632,110,302.86343,5.506608,2,198.23788,72,99.118942,36,Master only (1)
1400000US06037117302,6037117302,2022,4957,247,498.28525,40.346985,20,252.16866,125,203.75227,101,Master only (1)
1400000US06037117303,6037117303,2022,4428,152,343.27011,18.066847,8,210.0271,93,112.91779,50,Master only (1)
1400000US06037117404,6037117404,2022,5548,240,432.58832,30.641672,17,245.13338,136,155.01082,86,Master only (1)
1400000US06037117405,6037117405,2022,3176,82,258.1864,40.931992,13,75.56675,24,141.68765,45,Master only (1)
1400000US06037117407,6037117407,2022,3566,129,361.74985,36.455414,13,131.80034,47,187.88559,67,Master only (1)
1400000US06037117408,6037117408,2022,2404,190,790.34943,99.833611,24,353.57736,85,332.77872,80,Master only (1)
1400000US06037117510,6037117510,2022,3807,244,640.92462,76.175468,29,244.28683,93,317.83557,121,Master only (1)
